Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: NPNM,Spreadsheet: NPDM,Spreadsheet: DPNM,Spreadsheet: DPDM,Spreadsheet: setting,Spreadsheet: response,Store: Progress,Store: practice progress
1,1775658814358,08/04/2026 14:33:34,1775658814358,2,08/04/2026 16:33:34,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,,,,,,,info,START SUBSYSTEM base.component.audioSubsystem,,,,,,,,,,,,,,,,,,,,,,,,
2,1775658831013,08/04/2026 14:33:51,1775658831013,2,08/04/2026 16:33:51,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,,,,,,,info,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,,,,,,,,,,,,,,,,,,
3,1775658831053,08/04/2026 14:33:51,1775658831053,2,08/04/2026 16:33:51,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,
4,1775658860521,08/04/2026 14:34:20,1775658860521,2,08/04/2026 16:34:20,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Intro,Instructions,1wo76p,1,continue,,,29519.04,29502.86,29519.04,29519.04,29502.86,29519.04,1,0,0,,Click To Continue,Continue Button,2,object-22,Intro,,,,,,,,
5,1775658881650,08/04/2026 14:34:41,1775658881650,2,08/04/2026 16:34:41,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Intro,To practice,w2qzfk,2,continue,,,21147.56,21131.48,21147.56,21147.56,21131.48,21147.56,1,0,0,,Click To Continue,Continue Button,2,object-64,Intro,,,,,,,,
6,1775658890493,08/04/2026 14:34:50,1775658890493,2,08/04/2026 16:34:50,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Practice,Ready,a3p9gw,1,continue,,,8855.33999999998,8839.12,8855.33999999998,8855.33999999998,8839.12,8855.33999999998,1,0,0,,Key To Continue,Key To Continue,2,object-723,Practice,practice1.mp3,,,,,P,,
7,1775658890562,08/04/2026 14:34:50,1775658890562,2,08/04/2026 16:34:50,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Practice,Audio Stimulus,nbobot,2,info,audio started,,16.2199999999866,0,16.2199999999866,16.2199999999866,0,16.2199999999866,1,0,0,,Audio Clip,Audio Stimulus,1,object-77,Practice,practice1.mp3,,,,,P,,
8,1775658893305,08/04/2026 14:34:53,1775658893305,2,08/04/2026 16:34:53,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Practice,Audio Stimulus,nbobot,2,info,audio finished,,2830.96000000001,2818.90000000001,2830.96000000001,2830.96000000001,2818.90000000001,2830.96000000001,1,0,0,,Audio Clip,Audio Stimulus,1,object-77,Practice,practice1.mp3,,,,,P,,
9,1775658893311,08/04/2026 14:34:53,1775658893311,2,08/04/2026 16:34:53,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Practice,Audio Stimulus,nbobot,2,continue,,,2835.32000000001,2818.90000000001,2835.32000000001,2835.32000000001,2818.90000000001,2835.32000000001,1,0,0,,Audio Clip,Audio Stimulus,1,object-77,Practice,practice1.mp3,,,,,P,,
10,1775658896021,08/04/2026 14:34:56,1775658896021,2,08/04/2026 16:34:56,266901,4,task-n3lg,,54555041,15658036,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 149.0,1368x912,1368x755,,,0,Plausibility Determination Task,6,spreadsheet,spreadsheet,1,Practice,Response,e5rgsy,3,response,P,,2728.06,2718.52,2728.06,2728.06,2718.52,2728.06,1,0,0,response,Keyboard Response,Keyboard Response,2,object-83,Practice,practice1.mp3,,,,,P,,1
