"pid","Kjønn","Alder","Region"
15641803,"Kvinne",25,"Vestland"
15641804,"Mann",27,"Vestland"
15641805,"Kvinne",25,"Trøndelag"
15641808,"Mann",35,"Vestland"
15641809,"Mann",34,"Vestland"
15641810,"Mann",63,"Buskerud"
15658393,"Mann",31,"Vestland"
15641813,"Kvinne",35,"Vestland"
15666269,"Ikke-Binær",28,"Østfold"
15641816,"Kvinne",37,"Vestland"
15647688,"Kvinne",38,"Vestland"
15647689,"Mann",58,"Vestland"
15648100,"Kvinne",32,"Vestland"
15658036,"Kvinne",60,"Akershus"
15664251,"Mann",21,"Oslo"
15664252,"Kvinne",21,"Oslo"
15664253,"Mann",21,"Innlandet"
15670718,"Mann",33,"Østfold"
15689642,"Mann",33,"Vestland"
15699401,"Kvinne",29,"Akershus"
15709238,"Mann",24,"Vestland"
15713752,"Mann",25,"Vestland"
